S.No,dept,Subject,Topic,level,Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Choice ,Explanation ,Reference,Unit Number
11,IT,JAVA,Java Basics,3,What is it called where child object gets killed if parent object is killed?, Aggregation,Composition,Encapsulation,Association,2,Composition occurs when child object gets killed if parent object gets killed. Composition is also known as strong Aggregation.,www.sanfoundry.com,1
12,IT,JAVA,Java Basics,3,The library containing files needed to integrate Java with programs written in other languages resides inside following sub folder.,bin,jre,include,lib,3,The library containing files needed to integrate Java with programs written in other languages resides inside include sub folder.,c4learn.com,1
13,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",1,which of the following is not a Java keyword?,static ,new,final,Integer,4,"Here static,new and final are keywords",www.javatpoint.com,1
14,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",1,"Decrement operator, –, decreases value of variable by what number?",1,2,3,4,1,(-) operator value Decremented by 1,www.sanfoundry.com,1
15,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",1,"Modulus operator, %, can be applied to which of these?",Integers,Floating – point numbers,Both Integers and floating – point numbers.,None of the mentioned,3,Modulus operator can be applied to both integers and floating point numbers.,www.sanfoundry.com,1
16,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",1,Which of these values can a boolean variable contain?,True & False,0 & 1,Any integer value, true,1,"Boolean variable can contain only one of two possible values, true and false.",www.allindiaexams.in,1
17,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",2,What is the range of data type byte in Java?,a). -128 to 127,b). -32768 to 32767,c). -2147483648 to 2147483647,"d). None of the mentioned
",1,Byte occupies 8 bits in memory. Its range is from -128 to 127.,www.allindiaexams.in,1
18,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",2,What is the range of short data type in Java?,a) -128 to 127,b) -32768 to 32767,c) -2147483648 to 2147483647,d) None of the mentioned,2,Short occupies 16 bits in memory. Its range is from -32768 to 32767.,www.sanfoundry.com,1
19,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",2,"What is the output of this program?class booloperators {
        public static void main(String args[]) 
        {
            boolean var1 = true;
     boolean var2 = false;
     System.out.println((var1 & var2));
        } 
    }",a) 0,b) 1,c) true,d) false,4,Explanation: boolean ‘&’ operator always returns true or false. var1 is defined true and var2 is defined false hence their ‘&’ operator result is false.,www.allindiaexams.in,1
20,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",2,Which one is a valid declaration of a boolean?,a) boolean b1 = 1;,b) boolean b2 = ‘false’;,c) boolean b3 = false;,"d) boolean b4 = ‘true’
",3,"Boolean can only be assigned true or false literals.
",www.sanfoundry.com,1
21,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",3,"What is the output of this program?

    class asciicodes {
        public static void main(String args[]) 
        {
            char var1 = 'A';
     char var2 = 'a';
     System.out.println((int)var1 + "" "" + (int)var2);
        } 
    }",a) 162,b) 65 97,c) 67 95,"d) 66 98
",2,ASCII code for ‘A’ is 65 and for ‘a’ is 97.,www.sanfoundry.com,1
22,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",3,"What is the output of this program?

    class mainclass {
        public static void main(String args[]) 
        {
            char a = 'A';
            a++;
     System.out.print((int)a);
        } 
    }",a) 66,b) 67,c) 65,d) 64,1,"ASCII value of ‘A’ is 65, on using ++ operator character value increments by one.",www.indiabix.com,1
23,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",3,Which one of these lists contains only Java programming language keywords?,"a). class, if, void, long, Int, continue","b). goto, instanceof, native, finally, default, throws","c). try, virtual, throw, final, volatile, transient","d). strictfp, constant, super, implements, do",2,"All the words in option B are among the 49 Java keywords. Although goto reserved as a keyword in Java, goto is not used and has no function.

Option A is wrong because the keyword for the primitive int starts with a lowercase i.

Option C is wrong because ""virtual"" is a keyword in C++, but not Java.

Option D is wrong because ""constant"" is not a keyword. Constants in Java are marked static and final.",www.allindiaexams.in,1
24,IT,JAVA,"keywords,datatypes,variables,literals,constants,operators,Expressions",3,"What will be the output of the program?

class Equals 
{
    public static void main(String [] args) 
    {
        int x = 100;
        double y = 100.1;
        boolean b = (x = y); /* Line 7 */
        System.out.println(b);
    }
}",a). true,b). false,c). Compilation fails,d). An exception is thrown at runtime,3,"The code will not compile because in line 7, the line will work only if we use (x==y) in the line. The == operator compares values to produce a boolean, whereas the = operator assigns a value to variables.Option A, B, and D are incorrect because the code does not get as far as compiling. If we corrected this code, the output would be false.",www.javatpoint.com,1
25,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",1,"An expression involving byte, int and literal numbers is promoted to which of these?",int,long,byte,float,1,No Explanation,www.study2online.com,1
26,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",1,"If an expression contains double, int, float, long, then whole expression will promoted into which of these data types?",long,int,double,float,3,"If any operand is double the result of expression is double.

",www.resume.mcalglobal.com,1
27,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",1,"The conditional statement, ………………. can only test for equality, whereas ……………….  can evaluate any type of Boolean expression."," if, switch","switch, if","while, if"," if, while",2,Switch statements checks for equality between the controlling variable and its constant cases.,www.siteforinfotech.com,1
28,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",1,which of the following for loops will be an infinite loop?,for(;;),for(i=0 ; i<1 ; i--),for(i=0 ; ; i++),all of the above,4,No Explanation,www.examveda.com,1
29,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",2,"What is the output of this program?
 class char_increment {
        public static void main(String args[]) 
        {
            char c1 = 'D';
            char c2 = 84;
            c2++;
            c1++;
            System.out.println(c1 + "" ""  + c2);
        } 
    }",E U,U E,V E,U F,1,"Operator ++ increments the value of character by 1. c1 and c2 are given values D and 84, when we use ++ operator their values increments by 1, c1 and c2 becomes E and U respectively.",www.resume.mcalglobal.com,1
30,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",2,"What is the error in this code?
byte b = 50;
 b = b * 50;","b can not contain value 100, limited by its range.","* operator has converted b * 50 into int, which can not be converted to byte without casting.",b can not contain value 50.,No error in this code,2,No Explanation,www.study2online.com,1
31,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",2,"int a=15;
int b=25;
if((a<b) || (a=5)>15)
System.out.println(a);
else
System.out.println(b);",error,15,25,no output,2,No Explanation,www.siteforinfotech.com,1
32,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",2,"What will be the output of following program?
public class temp
{
    public static void main(String agrs[])
    {
        int i;
        for(i=1; i<=10; i++);
        System.out.print(i);
    }
}",12345678910,11,error,1 2 3 4 5 6 7 8 9 10,2,"Consider the statement

for(i=1; i<=10; i++);
Since statement is terminated with semicolon (;), loop will be executed 10 times and then statement System.out.print(i); will be executed.",www.includehelp.com,1
33,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",3,"What is the output of this program?

class conversion {

        public static void main(String args[]) 

        {

            double a = 295.04;

            int  b = 300;

            byte c = (byte) a;

            byte d = (byte) b;

            System.out.println(c + "" ""  + d);

        } 

    }",38 43,39 44,295 300,295.04 300,2,Type casting a larger variable into a smaller variable results in modulo of larger variable by range of smaller variable. b contains 300 which is larger than byte’s range i:e -128 to 127 hence d contains 300 modulo 256 i:e 44.,www.resume.mcalglobal.com,1
34,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",3,"What will be the output of the following program?
class Test { 
public
    static void main(String[] args) 
    { 
        int i = 0, j = 9; 
        do { 
            i++; 
            if (j-- < i++) { 
                break; 
            } 
        } while (i < 5); 
        System.out.println(i + """" + j); 
    } 
}",44,55,66,77,3,we have to specially take care about the break statement. The execution of the program is going as usual as the control flow of do-while loop but whenever compiler encountered break statement its control comes out from the loop.,www.geeksforgeeks.org,1
35,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",3,"What is the output of this program?
class jump_statments 
    {
        public static void main(String args[]) 
        {        
             int x = 2;
             int y = 0;
             for ( ; y < 10; ++y) 
             {
                 if (y % x == 0) 
                     continue;  
                 else if (y == 8)
                      break;
                 else
                    System.out.print(y + "" "");
             }
        } 
    }",1 3 5 7,2 4 6 8,1 3 5 7 9,1 2 3 4 5 6 7 8 9,3,"Whenever y is divisible by x remainder body of loop is skipped by continue statement, therefore if condition y == 8 is never true as when y is 8, remainder body of loop is skipped by continue statements of first if. Control comes to print statement only in cases when y is odd.",www.sanfoundry.com,1
36,IT,JAVA,"Type conversion and casting, enumerated types, Control flow-block scope, conditional statements, loops, break and continue statements",3,"What is the output of this program?
class comma_operator 
    {
        public static void main(String args[]) 
        {    
             int sum = 0;
             for (int i = 0, j = 0; i < 5 & j < 5; ++i, j = i + 1)
                 sum += i;
       System.out.println(sum);
 int var1 = 5; 
            int var2 = 6;
            if ((var2 = 1) == var1)
                System.out.print(var2);
            else 
                System.out.print(++var2);
        } 
    }",5 1,6 2,14 3,compilation error 4,2,"Using comma operator, we can include more than one statement in the initialization and iteration portion of the for loop. Therefore both ++i and j = i + 1 is executed i gets the value – 0,1,2,3,4 & j gets the values -0,1,2,3,4,5.
var2 is initialised to 1. The conditional statement returns false and the else part gets executed.",www.sanfoundry.com,1
37,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",1,What is false about constructor?, Constructors cannot be synchronized in Java,Java does not provide default copy constructor,Constructor can be overloaded, “this” and “super” can be used in a constructor,3,"Default, parameterised constructors can be defined.",https://www.sanfoundry.com,1
38,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",1,Which of these is used as a default for a member of a class if no access specifier is used for it?,private,public,"public, within its own package",protected,1,"When we pass an argument by call-by-value a copy of argument is made into the formal parameter of the subroutine and changes made on parameters of subroutine have no effect on original argument, they remain the same.",https://www.sanfoundry.com/java-mcqs-access-control/,1
39,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",1,Which of these classes are used by Byte streams for input and output operation,InputStream,InputOutputStream, Reader,All the above,1,Byte stream uses InputStream and OutputStream classes for input and output operation,http://www.allindiaexams.in/engineering/cse/java,1
40,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",1,What is the process of defining two or more methods within same class that have same name but different parameters declaration?,method overloading,method overriding,method hiding,None,1,"Two or more methods can have same name as long as their parameters declaration is different, the methods are said to be overloaded and process is called method overloading. Method overloading is a way by which Java implements polymorphism.",https://www.sanfoundry.com/,1
41,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",2,What is not the use of “this” keyword in Java,Passing itself to another method,Calling another constructor in constructor chaining,Referring to the instance variable when local variable has the same name,Passing itself to method of the same class,4,“this” is an important keyword in java. It helps to distinguish between local variable and variables passed in the method as parameters.,https://www.sanfoundry.com/,1
42,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",2,You want a class to have access to members of another class in the same package. Which is the most restrictive access that accomplishes this objective?,public,private ,protected,default access,4,To access the member of another class in same package in java default access is used.,https://www.astiwz.com/quiz/3-java-programming/,1
43,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",2,Which of these class contains the methods print() & println()?,System,Sytem.out,BufferedOutputStream,PrintStream,4,"print() and println() are defined under the class PrintStream, System.out is the byte stream used by these methods .",http://www.allindiaexams.in/,1
44,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",2,How many arguments can be passed to main()?,Infinite ,Only 1,System Dependent ,None,1,We can pass many arguments into a main function as many no of times,https://www.computersprofessor.com/,1
45,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",3,"which object will be created first? class student{  int marks; };            student s1, s2,s3;    ",s1 then s2 then s3,s3 then s2 then s1,s2 then s3 then s1,All are created at same time,1,Explicit call to a constructor can let you create temporary instance. This is because the temporary instances doesn’t have any name. Those are deleted from memory as soon as their reference is removed.,https://www.sanfoundry.com/object-oriented-programming,1
46,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",3,Which of the following class level (nonlocal) variable declarations will not compile?,protected int a;,transient int b=3;,public static final int c;,private synchronized e;,4,non local variable in the class declaration defined by private will not be compiled,https://www.astiwz.com/quiz/,1
47,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",3,"what is the output of this program? Class Output{ Public static void main(String args[]) { StringBuffer s1 = new StringBuffer(""Hello"");s1.setCharAt(1,x);System.out.println(s1);}} ", xello, xxxxx,Hxllo,Hexlo,3,$ javac Output.java $ java Output  Hxllo,https://www.sanfoundry.com/java,1
48,IT,JAVA,"constructors, methods, parameter passing, static fields and methods, access control, this reference",3,"What is the output of this program, Command line execution is done as – “java Output command Line 10 A b 4 N”?class Output {
        public static void main(String args[]) {
            System.out.print(""(int)args[2] * 2"");
        }
    }",Java,10,20,b,3,$ javac Output.java $ java Output  20,https://www.computersprofessor.com/,1
49,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",1,When Overloading does not occur?,More than one method with same name but different method signature and different number or type of parameters,"More than one method with same name, same signature but different number of signature","More than one method with same name, same signature, same number of parameters but different type","More than one method with same name, same number of parameters and type but different signature",4,Overloading occurs when more than one method with same name but different constructor and also when same signature but different number of parameters and/or parameter type.,https://www.computersprofessor.com/,1
50,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",1,What allows the programmer to destroy an object x?,x.delete(),x.finalize(),Runtime.getRuntime().gc(),"Only the garbage collection system can destroy an object.
",4,No Explanation,www.astiwz.com,1
51,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",1,What would be the behaviour if this() and super() used in a method?,Runtime error,Throws exception,compile time error,Runs successfully,3,this() and super() cannot be used in a method. This throws compile time error.,https://www.sanfoundry.com/java,1
52,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",1,Which of these constructors is used to create an empty String object?,String(),String(void),String(0),None of the mentioned,1,String(),http://www.allindiaexams.in,1
53,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",2,"void start() {  
    A a = new A(); 
    B b = new B(); 
    a.s(b);  
    b = null; /* Line 5 */
    a = null;  /* Line 6 */
    System.out.println(""start completed""); /* Line 7 */
} 
When is the B object, created in line 3, eligible for garbage collection?",after line 5,after line 6,after line 7,There is no way to be absolutely certain.,4,No Explanation,www.astiwz.com,1
54,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",2,Which of these is not a correct statement?,A recursive method must have a base case,Recursion always uses stack,Recursive methods are faster that programmers written loop to call the function repeatedly using a stack,Recursion is managed by Java Runtime environment,4,Recursion is always managed by operating system,https://www.sanfoundry.com/java,1
55,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",2,Abstract class cannot have a constructor.,TRUE,FALSE,1,0,2,No instance can be created of abstract class. Only pointer can hold instance of object.,https://www.sanfoundry.com/java,1
56,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",2,"What is the output of this program?
class String_demo 
    {
        public static void main(String args[])
        {
            int ascii[] = { 65, 66, 67, 68};
            String s = new String(ascii, 1, 3);
            System.out.println(s);
        }
   }
",ABC,BCD,CDA,ABCD,2,"ascii is an array of integers which contains ascii codes of Characters A, B, C, D. String(ascii, 1, 3) is an constructor which initializes s with Characters corresponding to ascii codes stored in array ascii, starting position being given by 1 & ending position by 3, Thus s stores BCD.",https://www.sanfoundry.com/java,1
57,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",3,"public class X 
{
    public static void main(String [] args) 
    {
        X x = new X();
        X x2 = m1(x); /* Line 6 */
        X x4 = new X();
        x2 = x4; /* Line 8 */
        doComplexStuff();
    }
    static X m1(X mx) 
    {
        mx = new X();
        return mx;
    }
}
After line 8 runs. how many objects are eligible for garbage collection?",0,1,2,3,2,No Explanation,www.astiwz.com,1
58,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",3,"What is the output of this program?
class recursion 
    {
        int func (int n) 
        {
            int result;
            if (n == 1)
                return 1;
            result = func (n - 1);
            return result;
        }
    } 
    class Output 
    {
        public static void main(String args[]) 
        {
            recursion obj = new recursion() ;
            System.out.print(obj.func(5));
        }
    }",0,1,120, None of the mentioned,2,No Explanation,www.sanfoundry.com,1
59,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",3,"public class Test
{
public static void main(String args[])
{
String a=""sai"";
String b=""ram""
System.out.println(a.charAt(0) > b.charAt(0) );
}
}
Determine Output
",TRUE,FALSE,Compilation error,throws Exception,1,Output will be True. Since when s1.charAt(0) ascii value is greater then s2.charAt(0). So it will return True.,www.examveda.com,1
60,IT,JAVA,"Over loading methods and constructors, recursion, garbage collection, building strings, exploring string class",3,"What is the output of this program?

    class String_demo 
{
        public static void main(String args[])
        {
            char chars[] = {'a', 'b', 'c'};
            String s = new String(chars);
            String s1 = ""abcd"";
            int len1 = s1.length();
            int len2 = s.length();
            System.out.println(len1 + "" "" + len2);
        }
   }",3 0,0 3 ,3 4,4 3,4,No Explanation,www.sanfoundry.com,1
61,IT,JAVA,Inheritance,1,"In inheritance, the class from which the properties are inherited is known as ?",Upper class,child class,Parent class,Top class,3,from the parent class properties are inherited to child class,https://www.sanfoundry.com,2
62,IT,JAVA,Inheritance,1,"In inheritance, the class which inherits the properties of another class is known as ?",lower class,child class,down class,None,2,the properties come down from parent to child class,https://www.sanfoundry.com,2
63,IT,JAVA,Inheritance,1,which keyword is used for inheritance in java ?,super,this,implements,extends,4,we use extends keyword for inheritance,https://www.examveda.com,2
64,IT,JAVA,Inheritance,1,inheritance gives scope for ______,reusability,GUI apps,arrays,None,1,reusing of existing modules is possible through inheritance,https://www.indiabix.com,2
65,IT,JAVA,Inheritance,2,What kind of inheritance is not possible in java ?,multiple,single,double,triple,1,java doesn't support multiple inheritance directly.,https://www.indiabix.com,2
66,IT,JAVA,Inheritance,2,"Using which of the following, multiple inheritance in Java can be implemented?",Protected methods,Multithreading,interfaces,Private methods,3,interfaces solve the problem of multiple inheritance in java,https://www.indiabix.com,2
67,IT,JAVA,Inheritance,2,All classes in Java are inherited from which class?,java.lang.class, java.class.inherited,java.class.object,java.lang.Object,4,All classes in java are inherited from Object class. Interfaces are not inherited from Object Class.,https://www.indiabix.com,2
68,IT,JAVA,Inheritance,2,"In order to restrict a variable of a class from inheriting to subclass, how variable should be declared?",Protected,Private,Public,Static,2,"By declaring variable private, the variable will not be available in inherited to subclass.",https://www.indiabix.com,2
69,IT,JAVA,Inheritance,3,"If super class and subclass have same variable name, which keyword should be used to use super class variable ?",super,this,upper,classname,1,Super keyword is used to access hidden super class variable in subclass.,https://www.indiabix.com,2
70,IT,JAVA,Inheritance,3,Static members are not inherited to subclass.,TRUE,both,none,FALSE,4,Static members are also inherited to subclasses.,https://www.indiabix.com,2
71,IT,JAVA,Inheritance,3,Which of the following is used for implementing inheritance through an interface?,inherited,using,extends,implements,4,Static members are also inherited to subclasses.,https://www.indiabix.com,2
72,IT,JAVA,Inheritance,3,Which of the following is used for implementing inheritance through class?,inherited,using,extends,implements,3,Class can be extended using extends keyword. One class can extend only one class. A final class cannot be extended.,https://www.indiabix.com,2
73,IT,JAVA,Inner Classes,3," What is the output of the following java program?
public class Outer  
{ 
    public static int temp1 = 1; 
    private static int temp2 = 2; 
    public int temp3 = 3; 
    private int temp4 = 4; 
      
    public static class Inner 
    { 
        private static int temp5 = 5; 
          
        private static int getSum() 
        { 
            return (temp1 + temp2 + temp3 + temp4 + temp5); 
        } 
    } 
      
    public static void main(String[] args) 
    { 
        Outer.Inner obj = new Outer.Inner(); 
        System.out.println(obj.getSum()); 
    } 
      
} ",15,9,5,Compilation Error,4,static inner classes cannot access non-static fields of the outer class.,https://www.geeksforgeeks.org,2
74,IT,JAVA,Inner Classes,3,"public class Outer  
{ 
    private static int data = 10; 
    private static int LocalClass() 
    { 
        class Inner 
        { 
            public int data = 20; 
            private int getData() 
            { 
                return data; 
            } 
        }; 
        Inner inner = new Inner(); 
        return inner.getData(); 
    } 
      
    public static void main(String[] args) 
    { 
        System.out.println(data * LocalClass()); 
    } 
} ",Compilation error,Runtime Error,200,None of the above,3,LocalClass() method defines a local inner class. This method creates an object of class Inner and return the value of the variable data that resides within it.,https://www.geeksforgeeks.org,2
75,IT,JAVA,Inner Classes,3,"interface Anonymous 
{ 
    public int getValue(); 
} 
public class Outer  
{ 
    private int data = 15; 
    public static void main(String[] args) 
    { 
        Anonymous inner = new Anonymous() 
                { 
                    int data = 5; 
                    public int getValue() 
                    { 
                        return data; 
                    } 
                    public int getData() 
                    { 
                        return data; 
                    } 
                }; 
        Outer outer = new Outer(); 
        System.out.println(inner.getValue() + inner.getData() + outer.data); 
    } 
} ",25,Compilation error,20,Runtime error,2,the method getData() is undefined in Anonymous class which causes the compilation error.,https://www.geeksforgeeks.org,2
76,IT,JAVA,Inner Classes,3,"
public class Outer 
{ 
    private int data = 10; 
      
    class Inner 
    { 
        private int data = 20; 
        private int getData() 
        { 
            return data; 
        } 
        public void main(String[] args) 
        { 
            Inner inner = new Inner(); 
            System.out.println(inner.getData()); 
              
        } 
    } 
    private int getData() 
    { 
        return data; 
    } 
    public static void main(String[] args) 
    { 
        Outer outer = new Outer(); 
        Outer.Inner inner = outer.new Inner(); 
        System.out.printf(""%d"", outer.getData()); 
        inner.main(args); 
    } 
}",2010,1020,Compilation Error,None of these,3,"Inner class defined above though, have access to the private variable data of the Outer class, but declaring a variable data inside an inner class makes it specific to the Inner class with no conflicts in term of variable declaration.",https://www.geeksforgeeks.org,2
77,IT,JAVA,Inner Classes,1,The nested class can be declared ___________________,Public,Private,Protected,"Public, Protected, Private or default",4,"The nested class can be declared with any specifier, unlike the outer classes which can only be declared public or package private. This is a flexibility given for the nested class being a member of enclosing class.",https://www.sanfoundry.com,2
78,IT,JAVA,Inner Classes,1, How to create object of the inner class?,OuterClass.InnerClass innerObject = new OuterClass.InnerClass ();,OuterClass.InnerClass innerObject = new InnerClass();,InnerClass innerObject = outerObject.new InnerClass();, OuterClass.InnerClass = outerObject.new InnerClass();,1,"An instance of inner class can exist only within instance of outer class. To instantiate the inner class, one must instantiate the outer class first. This can be done by the correct syntax above.",https://www.sanfoundry.com,2
79,IT,JAVA,Inner Classes,1,How to access static nested classes?,OuterClass.StaticNestedClass,OuterClass->StaticNestedClass,OuterClass(StaticNestedClass),OuterClass[StaticNestedClass].,1,"Like any other member of the class, the static nested class uses the dot operator to be accessed. The reason behind is, the static classes can’t work with instances, hence we use enclosing class name to access static nested class.",https://www.sanfoundry.com,2
80,IT,JAVA,Inner Classes,1,Instance of inner class can exist only _______________ enclosing class.,Within, Outside,Private to,Public to,1,The class defined inside another class is local to the enclosing class. This means that the instance of inner class will not be valid outside the enclosing class. There is no restriction for instance to be private or public always.,https://www.sanfoundry.com,2
81,IT,JAVA,Inner Classes,2,Which feature of OOP reduces the use of nested classes?,Encapsulation,Inheritance,Binding,Abstraction,2,Using inheritance we can have the security of the class being inherited. The subclass can access the members of parent class. And have more feature than a nested class being used.,https://www.sanfoundry.com,2
82,IT,JAVA,Inner Classes,2,Use of nested class ____________ encapsulation.,Increases,Decreases, Doesn’t affect,Slightly decreases,1,"The use of nested class increases encapsulation as the inner class is getting even more grouped into the enclosing class. Firstly the class encapsulate the data, having nested classes can increase the encapsulation even further.",https://www.sanfoundry.com,2
83,IT,JAVA,Inner Classes,2,Which among the following is correct advantage of nested classes?,Makes the code more complex,Makes the code unreadable,Makes the code efficient and readable,Makes the code multithreaded,3,The use of nested classes make the code more streamed towards a single concept. This allows to group the most similar and related classes together and makes it even more efficient and readable.,https://www.sanfoundry.com,2
84,IT,JAVA,Inner Classes,2,"If a declaration of a member in inner class has the same name as that in the outer class, then ________________ enclosing scope.",Outer declaration shadows inner declaration in,Inner declaration shadows outer declaration in,Declaration gives compile time error,Declaration gives runtime error,2,The inner class will have more preference for its local members than those of the enclosing members. Hence it will shadow the enclosing class members. This process is known as shadowing.,https://www.sanfoundry.com,2
85,IT,JAVA,Interface & Abstract class,1,Which of these keywords is used by a class to use an interface defined previously?,imports,Import,implements,Implement,3,implements is the keyword to implement a class,https://www.geeksforgeeks.org/interfaces-in-java/,2
86,IT,JAVA,Interface & Abstract class,2,"Which two of the following are legal declarations for abstract classes and interfaces?  1. final abstract class Test {}    2. public static interface Test {}   3. final public class Test {}   4. protected abstract class Test {}   5. protected interface Test {}   6. abstract public class Test {}
1. final abstract class Test {}",1 and 2 ,2 and 4 ,3 and 5,3 and 6 ,4,both are public. Any one can provide implementation to them,https://www.examveda.com/java-program/practice-mcq-question-on-interfaces-and-abstract-classes/,2
